event_id,release_time,model_id,y_true,y_pred,signal,pnl,tau
128,2024-10-10 13:31:00+00:00,M0_elasticnet,-0.0037587093132398,-0.004977050894151368,Short,0.0037587093132398,0.0017952482827316154
129,2024-10-11 13:30:00+00:00,M0_elasticnet,-0.0052962646545918,-0.005779619166956652,Short,0.0052962646545918,0.0017952482827316154
130,2024-11-08 13:30:00+00:00,M0_elasticnet,-0.0013094875032148,0.00023742788236383403,Neutral,0.0,0.0017952482827316154
131,2024-11-11 13:30:00+00:00,M0_elasticnet,-0.0027699116724794,-0.002395237178945059,Short,0.0027699116724794,0.0017952482827316154
132,2024-11-17 19:00:00+00:00,M0_elasticnet,-0.0073517627139612,-0.007168199916902972,Short,0.0073517627139612,0.0017952482827316154
133,2024-12-06 13:30:00+00:00,M0_elasticnet,0.0003155515595628,-0.0006042362520041903,Neutral,0.0,0.0017952482827316154
134,2024-12-13 13:31:00+00:00,M0_elasticnet,-0.0034128973739113,-0.0005209369652981457,Neutral,0.0,0.0017952482827316154
135,2024-12-21 19:00:00+00:00,M0_elasticnet,-0.0027526299033415,-0.003292442554022192,Short,0.0027526299033415,0.0017952482827316154
136,2025-01-10 13:30:00+00:00,M0_elasticnet,-0.0022981751439285,-0.0040163794681689876,Short,0.0022981751439285,0.0017952482827316154
137,2025-01-14 13:30:00+00:00,M0_elasticnet,-0.0164171034700309,-0.009250513189899634,Short,0.0164171034700309,0.0017952482827316154
138,2025-01-19 19:00:00+00:00,M0_elasticnet,-0.005481479751943,-0.006616415094861248,Short,0.005481479751943,0.0017952482827316154
139,2025-02-07 13:30:00+00:00,M0_elasticnet,-0.0098783816686515,-0.007067025523027822,Short,0.0098783816686515,0.0017952482827316154
140,2025-02-12 13:32:00+00:00,M0_elasticnet,0.0028567949655119,-4.603118643768797e-05,Neutral,0.0,0.0017952482827316154
141,2025-03-07 13:30:00+00:00,M0_elasticnet,-0.0004406712229589,0.001990563163059281,Long,-0.0004406712229589,0.0017952482827316154
142,2025-03-11 13:32:00+00:00,M0_elasticnet,-0.0066263362433678,-0.006309533248780606,Short,0.0066263362433678,0.0017952482827316154
143,2025-03-19 19:00:00+00:00,M0_elasticnet,-0.0022438078999722,-0.003246422491620985,Short,0.0022438078999722,0.0017952482827316154
144,2025-04-11 13:30:00+00:00,M0_elasticnet,-0.0039246834276212,-0.006273978193516353,Short,0.0039246834276212,0.0017952482827316154
145,2025-04-11 13:32:00+00:00,M0_elasticnet,-0.0028141091937897,-0.003291050111674281,Short,0.0028141091937897,0.0017952482827316154
146,2025-05-02 13:30:00+00:00,M0_elasticnet,-0.0131367684259356,-0.012152431083730056,Short,0.0131367684259356,0.0017952482827316154
147,2025-05-12 13:31:00+00:00,M0_elasticnet,-0.0093753090530386,-0.008347554128258435,Short,0.0093753090530386,0.0017952482827316154
148,2025-05-15 19:00:00+00:00,M0_elasticnet,0.0001188610594737,-0.00323664072600523,Short,-0.0001188610594737,0.0017952482827316154
149,2025-06-06 13:30:00+00:00,M0_elasticnet,0.0036688486596573,0.0036022794638107037,Long,0.0036688486596573,0.0017952482827316154
150,2025-06-10 13:31:00+00:00,M0_elasticnet,0.0011906861894694,-0.0026646776666080134,Short,-0.0011906861894694,0.0017952482827316154
