event_id,release_time,M0_elasticnet,M0_gbdt,M0_ols,M1_elasticnet,M1_gbdt,M1_ols,M2_elasticnet,M2_gbdt,M2_ols,M3_elasticnet,M3_gbdt,M3_ols,selected
128,2024-10-10 13:31:00,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398,0.0037587093132398
129,2024-10-11 13:30:00,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316
130,2024-11-08 13:30:00,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316,0.0090549739678316
131,2024-11-11 13:30:00,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.011824885640311,0.0090549739678316,0.011824885640311
132,2024-11-17 19:00:00,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0164067366817928,0.0191766483542722
133,2024-12-06 13:30:00,0.0191766483542722,0.0191766483542722,0.0191766483542722,0.0188610967947094,0.0191766483542722,0.0191766483542722,0.0188610967947094,0.0191766483542722,0.0191766483542722,0.0188610967947094,0.0191766483542722,0.01609118512223,0.0191766483542722
134,2024-12-13 13:31:00,0.0191766483542722,0.0225895457281835,0.0191766483542722,0.0188610967947094,0.0225895457281835,0.0191766483542722,0.0188610967947094,0.0225895457281835,0.0191766483542722,0.0188610967947094,0.0225895457281835,0.01609118512223,0.0191766483542722
135,2024-12-21 19:00:00,0.0219292782576136,0.025342175631525,0.0219292782576136,0.0216137266980509,0.025342175631525,0.0219292782576136,0.0216137266980509,0.025342175631525,0.0219292782576136,0.0216137266980509,0.025342175631525,0.0188438150255715,0.0219292782576136
136,2025-01-10 13:30:00,0.0242274534015422,0.0276403507754535,0.0242274534015422,0.0239119018419794,0.0276403507754535,0.0242274534015422,0.0239119018419794,0.0276403507754535,0.0242274534015422,0.0239119018419794,0.0276403507754535,0.0211419901695,0.0242274534015422
137,2025-01-14 13:30:00,0.0406445568715731,0.0440574542454844,0.0406445568715731,0.0403290053120103,0.0440574542454844,0.0406445568715731,0.0403290053120103,0.0440574542454844,0.0406445568715731,0.0403290053120103,0.0440574542454844,0.0375590936395309,0.0406445568715731
138,2025-01-19 19:00:00,0.046126036623516,0.0495389339974274,0.046126036623516,0.0458104850639533,0.0495389339974274,0.046126036623516,0.0458104850639533,0.0495389339974274,0.046126036623516,0.0458104850639533,0.0495389339974274,0.0430405733914739,0.046126036623516
139,2025-02-07 13:30:00,0.0560044182921675,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0529189550601254,0.0560044182921675
140,2025-02-12 13:32:00,0.0560044182921675,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0529189550601254,0.0560044182921675
141,2025-03-07 13:30:00,0.0555637470692087,0.0594173156660789,0.0555637470692087,0.0556888667326048,0.0594173156660789,0.0555637470692087,0.0556888667326048,0.0594173156660789,0.0560044182921675,0.0556888667326048,0.0594173156660789,0.0529189550601254,0.0560044182921675
142,2025-03-11 13:32:00,0.0621900833125765,0.0660436519094467,0.0621900833125765,0.0623152029759726,0.0660436519094467,0.0621900833125765,0.0623152029759726,0.0660436519094467,0.0626307545355353,0.0623152029759726,0.0660436519094467,0.0595452913034932,0.0626307545355353
143,2025-03-19 19:00:00,0.0644338912125487,0.0660436519094467,0.0644338912125487,0.0645590108759448,0.0660436519094467,0.0644338912125487,0.0645590108759448,0.0660436519094467,0.0648745624355075,0.0645590108759448,0.0660436519094467,0.0595452913034932,0.0648745624355075
144,2025-04-11 13:30:00,0.0683585746401699,0.0699683353370679,0.0683585746401699,0.068483694303566,0.0699683353370679,0.0683585746401699,0.068483694303566,0.0699683353370679,0.0648745624355075,0.068483694303566,0.0699683353370679,0.0634699747311144,0.0648745624355075
145,2025-04-11 13:32:00,0.0711726838339596,0.0727824445308576,0.0711726838339596,0.0712978034973557,0.0699683353370679,0.0683585746401699,0.0712978034973557,0.0699683353370679,0.0676886716292972,0.068483694303566,0.0699683353370679,0.0634699747311144,0.0676886716292972
